 cattivin ( VERB ) 
 comunicarci ( VERB_INFINITIVE VERB ) 
 comunicare ( VERB_INFINITIVE VERB ) 
 comunicargli ( VERB_INFINITIVE VERB ) 
 comunicarla ( VERB_INFINITIVE VERB ) 
 comunicarle ( VERB_INFINITIVE VERB ) 
 comunicarli ( VERB_INFINITIVE VERB ) 
 comunicarlo ( VERB_INFINITIVE VERB ) 
 comunicarmi ( VERB_INFINITIVE VERB ) 
 comunicarne ( VERB_INFINITIVE VERB ) 
 comunicaron ( VERB ) 
 comunicarono ( VERB ) 
 comunicarsi ( VERB_INFINITIVE VERB ) 
 comunicarti ( VERB_INFINITIVE VERB ) 
 comunicarvi ( VERB_INFINITIVE VERB ) 
 comunicasi ( VERB ) 
 comunicasse ( VERB ) 
 comunicasser ( VERB ) 
 comunicassero ( VERB ) 
 comunicassi ( VERB ) 
 comunicassimo ( VERB ) 
 comunicaste ( VERB ) 
 comunicasti ( VERB ) 
 comunicata ( VERB_PAST_PARTICIPLE VERB ADJECTIVE ) 
 comunicate ( VERB_PAST_PARTICIPLE VERB ADJECTIVE ) 
 comunicatecelo ( VERB ) 
 comunicategli ( VERB ) 
 comunicatemelo ( VERB ) 
 comunicatemi ( VERB ) 
 comunicati ( VERB_PAST_PARTICIPLE NOUN VERB ADJECTIVE NOUN_SINGULAR ) 
 comunicatissima ( ADJECTIVE ) 
 comunicatissime ( ADJECTIVE ) 
 comunicatissimi ( ADJECTIVE ) 
 comunicatissimo ( ADJECTIVE ) 
 comunicativa ( ADJECTIVE ) 
 comunicative ( ADJECTIVE ) 
 comunicativi ( ADJECTIVE ) 
 comunicativissima ( ADJECTIVE ) 
 comunicativissime ( ADJECTIVE ) 
 comunicativissimi ( ADJECTIVE ) 
 comunicativissimo ( ADJECTIVE ) 
 comunicativo ( ADJECTIVE ) 
 comunicato ( VERB_PAST_PARTICIPLE NOUN VERB ADJECTIVE NOUN_SINGULAR ) 
 comunicatore ( NOUN NOUN_SINGULAR ) 
 comunicatori ( NOUN NOUN_SINGULAR ) 
 comunicava ( VERB ) 
 comunicavamo ( VERB ) 
 comunicavan ( VERB ) 
 comunicavano ( VERB ) 
 comunicavate ( VERB ) 
 comunicavi ( VERB ) 
 comunicavo ( VERB ) 
 comunicazione ( NOUN NOUN_SINGULAR ) 
 comunicazioni ( NOUN NOUN_SINGULAR ) 
 comunichera' ( VERB ) 
 comunicherai ( VERB ) 
 comunicheran ( VERB ) 
 comunicheranno ( VERB ) 
 comunicherebbe ( VERB ) 
 comunicherebber ( VERB ) 
 comunicherebbero ( VERB ) 
 comunicherei ( VERB ) 
 comunicheremmo ( VERB ) 
 comunicheremo ( VERB ) 
 comunichereste ( VERB ) 
 comunicheresti ( VERB ) 
 comunicherete ( VERB ) 
 comunichero' ( VERB ) 
 comunicherà ( VERB ) 
 comunicherò ( VERB ) 
 comunichi ( VERB ) 
 comunichiamo ( VERB ) 
 comunichiate ( VERB ) 
 comunichin ( VERB ) 
 comunichino ( VERB ) 
 comunico ( VERB ) 
 comunico' ( VERB ) 
 comunicò ( VERB ) 
 comunione ( NOUN NOUN_SINGULAR ) 
 comunioni ( NOUN NOUN_SINGULAR ) 
 comunismi ( NOUN NOUN_SINGULAR ) 
 comunismo ( NOUN NOUN_SINGULAR ) 
 comunissima ( ADJECTIVE ) 
 comunissime ( ADJECTIVE ) 
 comunissimi ( ADJECTIVE ) 
 comunissimo ( ADJECTIVE ) 
 comunista ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 comuniste ( ADJECTIVE ) 
 comunisti ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 comunistissima ( ADJECTIVE ) 
 comunistissime ( ADJECTIVE ) 
 comunistissimi ( ADJECTIVE ) 
 comunistissimo ( ADJECTIVE ) 
 comunistizza ( VERB ) 
 comunistizzai ( VERB ) 
 comunistizzammo ( VERB ) 
 comunistizzan ( VERB ) 
 comunistizzando ( NOUN NOUN_GERUND ) 
 comunistizzano ( VERB ) 
 comunistizzante ( VERB_PRESENT_PARTICIPLE VERB ) 
 comunistizzanti ( VERB_PRESENT_PARTICIPLE VERB ) 
 comunistizzar ( VERB_INFINITIVE VERB ) 
 comunistizzare ( VERB_INFINITIVE VERB ) 
 comunistizzaron ( VERB ) 
 comunistizzarono ( VERB ) 
 comunistizzasse ( VERB ) 
 comunistizzasser ( VERB ) 
 comunistizzassero ( VERB ) 
 comunistizzassi ( VERB ) 
 comunistizzassimo ( VERB ) 
 comunistizzaste ( VERB ) 
 comunistizzasti ( VERB ) 
 comunistizzata ( VERB_PAST_PARTICIPLE VERB ) 
 comunistizzate ( VERB_PAST_PARTICIPLE VERB ) 
 comunistizzati ( VERB_PAST_PARTICIPLE VERB ) 
 comunistizzato ( VERB_PAST_PARTICIPLE VERB ) 
 comunistizzava ( VERB ) 
 comunistizzavamo ( VERB ) 
 comunistizzavan ( VERB ) 
 comunistizzavano ( VERB ) 
 comunistizzavate ( VERB ) 
 comunistizzavi ( VERB ) 
 comunistizzavo ( VERB ) 
 comunistizzera' ( VERB ) 
 comunistizzerai ( VERB ) 
 comunistizzeran ( VERB ) 
 comunistizzeranno ( VERB ) 
 comunistizzerebbe ( VERB ) 
 comunistizzerebber ( VERB ) 
 comunistizzerebbero ( VERB ) 
 comunistizzerei ( VERB ) 
 comunistizzeremmo ( VERB ) 
 comunistizzeremo ( VERB ) 
 comunistizzereste ( VERB ) 
 comunistizzeresti ( VERB ) 
 comunistizzerete ( VERB ) 
 comunistizzero' ( VERB ) 
 comunistizzerà ( VERB ) 
 comunistizzerò ( VERB ) 
 comunistizzi ( VERB ) 
 comunistizziamo ( VERB ) 
 comunistizziate ( VERB ) 
 comunistizzin ( VERB ) 
 comunistizzino ( VERB ) 
 comunistizzo ( VERB ) 
 comunistizzo' ( VERB ) 
 comunistizzò ( VERB ) 
 comunita' ( NOUN NOUN_SINGULAR ) 
 comunitari ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 comunitaria ( ADJECTIVE ) 
 comunitarie ( ADJECTIVE ) 
 comunitario ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 comunitarissima ( ADJECTIVE ) 
 comunitarissime ( ADJECTIVE ) 
 comunitarissimi ( ADJECTIVE ) 
 comunitarissimo ( ADJECTIVE ) 
 comunitarizza ( VERB ) 
 comunitarizzai ( VERB ) 
 comunitarizzammo ( VERB ) 
 comunitarizzan ( VERB ) 
 comunitarizzando ( NOUN NOUN_GERUND ) 
 comunitarizzano ( VERB ) 
 comunitarizzante ( VERB_PRESENT_PARTICIPLE VERB ) 
 comunitarizzanti ( VERB_PRESENT_PARTICIPLE VERB ) 
 comunitarizzar ( VERB_INFINITIVE VERB ) 
 comunitarizzare ( VERB_INFINITIVE VERB ) 
 comunitarizzaron ( VERB ) 
 comunitarizzarono ( VERB ) 
 comunitarizzasse ( VERB ) 
 comunitarizzasser ( VERB ) 
 comunitarizzassero ( VERB ) 
 comunitarizzassi ( VERB ) 
 comunitarizzassimo ( VERB ) 
 comunitarizzaste ( VERB ) 
 comunitarizzasti ( VERB ) 
 comunitarizzata ( VERB_PAST_PARTICIPLE VERB ) 
 comunitarizzate ( VERB_PAST_PARTICIPLE VERB ) 
 comunitarizzati ( VERB_PAST_PARTICIPLE VERB ) 
 comunitarizzato ( VERB_PAST_PARTICIPLE VERB ) 
 comunitarizzava ( VERB ) 
 comunitarizzavamo ( VERB ) 
 comunitarizzavan ( VERB ) 
 comunitarizzavano ( VERB ) 
 comunitarizzavate ( VERB ) 
 comunitarizzavi ( VERB ) 
 comunitarizzavo ( VERB ) 
 comunitarizzera' ( VERB ) 
 comunitarizzerai ( VERB ) 
 comunitarizzeran ( VERB ) 
 comunitarizzeranno ( VERB ) 
 comunitarizzerebbe ( VERB ) 
 comunitarizzerebber ( VERB ) 
 comunitarizzerebbero ( VERB ) 
 comunitarizzerei ( VERB ) 
 comunitarizzeremmo ( VERB ) 
 comunitarizzeremo ( VERB ) 
 comunitarizzereste ( VERB ) 
 comunitarizzeresti ( VERB ) 
 comunitarizzerete ( VERB ) 
 comunitarizzero' ( VERB ) 
 comunitarizzerà ( VERB ) 
 comunitarizzerò ( VERB ) 
 comunitarizzi ( VERB ) 
 comunitarizziamo ( VERB ) 
 comunitarizziate ( VERB ) 
 comunitarizzin ( VERB ) 
 comunitarizzino ( VERB ) 
 comunitarizzo ( VERB ) 
 comunitarizzo' ( VERB ) 
 comunitarizzò ( VERB ) 
 comunità ( NOUN NOUN_SINGULAR ) 
 comunque ( ) 
 con ( PREPOSITION ) 
 conati ( NOUN NOUN_SINGULAR ) 
 conato ( NOUN NOUN_SINGULAR ) 
 conca ( NOUN NOUN_SINGULAR ) 
 concambi ( NOUN NOUN_SINGULAR ) 
 concambio ( NOUN NOUN_SINGULAR ) 
 concatena ( VERB ) 
 concatenai ( VERB ) 
 concatenamenti ( NOUN NOUN_SINGULAR ) 
 concatenamento ( NOUN NOUN_SINGULAR ) 
 concatenammo ( VERB ) 
 concatenan ( VERB ) 
 concatenando ( NOUN NOUN_GERUND ) 
 concatenano ( VERB ) 
 concatenante ( VERB_PRESENT_PARTICIPLE VERB ) 
 concatenanti ( VERB_PRESENT_PARTICIPLE VERB ) 
 concatenar ( VERB_INFINITIVE VERB ) 
 concatenare ( VERB_INFINITIVE VERB ) 
 concatenaron ( VERB ) 
 concatenarono ( VERB ) 
 concatenarsi ( VERB_INFINITIVE VERB ) 
 concatenasse ( VERB ) 
 concatenasser ( VERB ) 
 concatenassero ( VERB ) 
 concatenassi ( VERB ) 
 concatenassimo ( VERB ) 
 concatenaste ( VERB ) 
 concatenasti ( VERB ) 
 concatenata ( VERB_PAST_PARTICIPLE VERB ) 
 concatenate ( VERB_PAST_PARTICIPLE VERB ) 
 concatenati ( VERB_PAST_PARTICIPLE VERB ) 
 concatenato ( VERB_PAST_PARTICIPLE VERB ) 
 concatenava ( VERB ) 
 concatenavamo ( VERB ) 
 concatenavan ( VERB ) 
 concatenavano ( VERB ) 
 concatenavate ( VERB ) 
 concatenavi ( VERB ) 
 concatenavo ( VERB ) 
 concatenazione ( NOUN NOUN_SINGULAR ) 
 concatenazioni ( NOUN NOUN_SINGULAR ) 
 concatenera' ( VERB ) 
 concatenerai ( VERB ) 
 concateneran ( VERB ) 
 concateneranno ( VERB ) 
 concatenerebbe ( VERB ) 
 concatenerebber ( VERB ) 
 concatenerebbero ( VERB ) 
 concatenerei ( VERB ) 
 concateneremmo ( VERB ) 
 concateneremo ( VERB ) 
 concatenereste ( VERB ) 
 concateneresti ( VERB ) 
 concatenerete ( VERB ) 
 concatenero' ( VERB ) 
 concatenerà ( VERB ) 
 concatenerò ( VERB ) 
 concateni ( VERB ) 
 concateniamo ( VERB ) 
 concateniate ( VERB ) 
 concatenin ( VERB ) 
 concatenino ( VERB ) 
 concateno ( VERB ) 
 concateno' ( VERB ) 
 concatenò ( VERB ) 
 concausa ( NOUN NOUN_SINGULAR ) 
 concause ( NOUN NOUN_SINGULAR ) 
 concava ( ADJECTIVE ) 
 concave ( ADJECTIVE ) 
 concavi ( ADJECTIVE ) 
 concavissima ( ADJECTIVE ) 
 concavissime ( ADJECTIVE ) 
 concavissimi ( ADJECTIVE ) 
 concavissimo ( ADJECTIVE ) 
 concavo ( ADJECTIVE ) 
 conceda ( VERB ) 
 concedan ( VERB ) 
 concedano ( VERB ) 
 concede ( VERB ) 
 concedemmo ( VERB ) 
 concedendo ( NOUN NOUN_GERUND ) 
 concedendogli ( NOUN NOUN_GERUND ) 
 concedendole ( NOUN NOUN_GERUND ) 
 concedendone ( NOUN NOUN_GERUND ) 
 concedendosi ( NOUN NOUN_GERUND ) 
 concedendovi ( NOUN NOUN_GERUND ) 
 concedente ( VERB_PRESENT_PARTICIPLE NOUN VERB NOUN_SINGULAR ) 
 concedenti ( VERB_PRESENT_PARTICIPLE NOUN VERB NOUN_SINGULAR ) 
 conceder ( VERB_INFINITIVE VERB ) 
 concedera' ( VERB ) 
 concederai ( VERB ) 
 concederan ( VERB ) 
 concederanno ( VERB ) 
 concederci ( VERB_INFINITIVE VERB ) 
 concedere ( VERB_INFINITIVE VERB ) 
 concederebbe ( VERB ) 
 concederebber ( VERB ) 
 concederebbero ( VERB ) 
 concederei ( VERB ) 
 concederemmo ( VERB ) 
 concederemo ( VERB ) 
 concedereste ( VERB ) 
 concederesti ( VERB ) 
 concederete ( VERB ) 
 concedergli ( VERB_INFINITIVE VERB ) 
 concedergliele ( VERB_INFINITIVE VERB ) 
 concederglielo ( VERB_INFINITIVE VERB ) 
 concederla ( VERB_INFINITIVE VERB ) 
 concederli ( VERB_INFINITIVE VERB ) 
 concederlo ( VERB_INFINITIVE VERB ) 
 concedermi ( VERB_INFINITIVE VERB ) 
 concedero' ( VERB ) 
 concedersi ( VERB_INFINITIVE VERB ) 
 concederti ( VERB_INFINITIVE VERB ) 
 concederà ( VERB ) 
 concederò ( VERB ) 
 concedesse ( VERB ) 
 concedesser ( VERB ) 
 concedessero ( VERB ) 
 concedessi ( VERB ) 
 concedessimo ( VERB ) 
 concedeste ( VERB ) 
 concedesti ( VERB ) 
 concedete ( VERB ) 
 concedette ( VERB ) 
 concedettero ( VERB ) 
 concedetti ( VERB ) 
 concedeva ( VERB ) 
 concedevamo ( VERB ) 
 concedevan ( VERB ) 
 concedevano ( VERB ) 
 concedevate ( VERB ) 
 concedevi ( VERB ) 
 concedevo ( VERB ) 
 concedi ( VERB ) 
 concediamo ( VERB ) 
 concediamoci ( VERB ) 
 concediate ( VERB ) 
 concedici ( VERB ) 
 concedimi ( VERB ) 
 concedo ( VERB ) 
 concedon ( VERB ) 
 concedono ( VERB ) 
 conceduta ( VERB_PAST_PARTICIPLE VERB ) 
 concedute ( VERB_PAST_PARTICIPLE VERB ) 
 conceduti ( VERB_PAST_PARTICIPLE VERB ) 
 conceduto ( VERB_PAST_PARTICIPLE VERB ) 
 concentra ( VERB ) 
 concentrai ( VERB ) 
 concentramenti ( NOUN NOUN_SINGULAR ) 
 concentramento ( NOUN NOUN_SINGULAR ) 
 concentrammo ( VERB ) 
 concentran ( VERB ) 
 concentrando ( NOUN NOUN_GERUND ) 
 concentrandoci ( NOUN NOUN_GERUND ) 
 concentrandole ( NOUN NOUN_GERUND ) 
 concentrandoli ( NOUN NOUN_GERUND ) 
 concentrandomi ( NOUN NOUN_GERUND ) 
 concentrandone ( NOUN NOUN_GERUND ) 
 concentrandosi ( NOUN NOUN_GERUND ) 
 concentrano ( VERB ) 
 concentrante ( VERB_PRESENT_PARTICIPLE VERB ) 
 concentranti ( VERB_PRESENT_PARTICIPLE VERB ) 
 concentrar ( VERB_INFINITIVE VERB ) 
 concentrarci ( VERB_INFINITIVE VERB ) 
 concentrare ( VERB_INFINITIVE VERB ) 
 concentrarla ( VERB_INFINITIVE VERB ) 
 concentrarle ( VERB_INFINITIVE VERB ) 
 concentrarlo ( VERB_INFINITIVE VERB ) 
 concentrarmi ( VERB_INFINITIVE VERB ) 
 concentraron ( VERB ) 
 concentrarono ( VERB ) 
 concentrarsi ( VERB_INFINITIVE VERB ) 
 concentrarti ( VERB_INFINITIVE VERB ) 
 concentrarvi ( VERB_INFINITIVE VERB ) 
 concentrasse ( VERB ) 
 concentrasser ( VERB ) 
 concentrassero ( VERB ) 
 concentrassi ( VERB ) 
 concentrassimo ( VERB ) 
 concentraste ( VERB ) 
 concentrasti ( VERB ) 
 concentrata ( VERB_PAST_PARTICIPLE VERB ADJECTIVE ) 
 concentrate ( VERB_PAST_PARTICIPLE VERB ADJECTIVE ) 
 concentrati ( VERB_PAST_PARTICIPLE NOUN VERB ADJECTIVE NOUN_SINGULAR ) 
 concentratissima ( ADJECTIVE ) 
 concentratissime ( ADJECTIVE ) 
 concentratissimi ( ADJECTIVE ) 
 concentratissimo ( ADJECTIVE ) 
 concentrato ( VERB_PAST_PARTICIPLE NOUN VERB ADJECTIVE NOUN_SINGULAR ) 
 concentrava ( VERB ) 
 concentravamo ( VERB ) 
 concentravan ( VERB ) 
 concentravano ( VERB ) 
 concentravate ( VERB ) 
 concentravi ( VERB ) 
 concentravo ( VERB ) 
 concentrazione ( NOUN NOUN_SINGULAR ) 
 concentrazioni ( NOUN NOUN_SINGULAR ) 
 concentrera' ( VERB ) 
 concentrerai ( VERB ) 
 concentreran ( VERB ) 
 concentreranno ( VERB ) 
 concentrerebbe ( VERB ) 
 concentrerebber ( VERB ) 
 concentrerebbero ( VERB ) 
 concentrerei ( VERB ) 
 concentreremmo ( VERB ) 
 concentreremo ( VERB ) 
 concentrereste ( VERB ) 
 concentreresti ( VERB ) 
 concentrerete ( VERB ) 
 concentrero' ( VERB ) 
 concentrerà ( VERB ) 
 concentrerò ( VERB ) 
 concentri ( VERB ) 
 concentriamo ( VERB ) 
 concentriate ( VERB ) 
 concentrica ( ADJECTIVE ) 
 concentriche ( ADJECTIVE ) 
 concentrici ( ADJECTIVE ) 
 concentricissima ( ADJECTIVE ) 
 concentricissime ( ADJECTIVE ) 
 concentricissimi ( ADJECTIVE ) 
 concentricissimo ( ADJECTIVE ) 
 concentrico ( ADJECTIVE ) 
 concentrin ( VERB ) 
 concentrino ( VERB ) 
 concentro ( VERB ) 
 concentro' ( VERB ) 
 concentrò ( VERB ) 
 concependo ( NOUN NOUN_GERUND ) 
 concepente ( VERB_PRESENT_PARTICIPLE VERB ) 
 concepenti ( VERB_PRESENT_PARTICIPLE VERB ) 
 concepi' ( VERB ) 
 concepiamo ( VERB ) 
 concepiate ( VERB ) 
 concepibile ( ADJECTIVE ) 
 concepibili ( ADJECTIVE ) 
 concepibilissima ( ADJECTIVE ) 
 concepibilissime ( ADJECTIVE ) 
 concepibilissimi ( ADJECTIVE ) 
 concepibilissimo ( ADJECTIVE ) 
 concepii ( VERB ) 
 concepimenti ( NOUN NOUN_SINGULAR ) 
 concepimento ( NOUN NOUN_SINGULAR ) 
 concepimmo ( VERB ) 
 concepir ( VERB_INFINITIVE VERB ) 
 concepira' ( VERB ) 
 concepirai ( VERB ) 
 concepiran ( VERB ) 
 concepiranno ( VERB ) 
 concepirci ( VERB_INFINITIVE VERB ) 
 concepire ( VERB_INFINITIVE VERB ) 
 concepirebbe ( VERB ) 
 concepirebber ( VERB ) 
 concepirebbero ( VERB ) 
 concepirei ( VERB ) 
 concepiremmo ( VERB ) 
 concepiremo ( VERB ) 
 concepireste ( VERB ) 
 concepiresti ( VERB ) 
 concepirete ( VERB ) 
 concepirli ( VERB_INFINITIVE VERB ) 
 concepirlo ( VERB_INFINITIVE VERB ) 
 concepirmi ( VERB_INFINITIVE VERB ) 
 concepiro' ( VERB ) 
 concepiron ( VERB ) 
 concepirono ( VERB ) 
 concepirà ( VERB ) 
 concepirò ( VERB ) 
 concepisca ( VERB ) 
 concepiscan ( VERB ) 
 concepiscano ( VERB ) 
 concepisce ( VERB ) 
 concepisci ( VERB ) 
 concepisco ( VERB ) 
 concepiscon ( VERB ) 
 concepiscono ( VERB ) 
 concepisse ( VERB ) 
 concepisser ( VERB ) 
 concepissero ( VERB ) 
 concepissi ( VERB ) 
 concepissimo ( VERB ) 
 concepiste ( VERB ) 
 concepisti ( VERB ) 
 concepita ( VERB_PAST_PARTICIPLE VERB ) 
 concepite ( VERB_PAST_PARTICIPLE VERB ) 
 concepiti ( VERB_PAST_PARTICIPLE VERB ) 
 concepito ( VERB_PAST_PARTICIPLE VERB ) 
 concepiva ( VERB ) 
 concepivamo ( VERB ) 
 concepivan ( VERB ) 
 concepivano ( VERB ) 
 concepivate ( VERB ) 
 concepivi ( VERB ) 
 concepivo ( VERB ) 
 concepì ( VERB ) 
 concera' ( VERB ) 
 concerai ( VERB ) 
 conceran ( VERB ) 
 conceranno ( VERB ) 
 concerebbe ( VERB ) 
 concerebber ( VERB ) 
 concerebbero ( VERB ) 
 concerei ( VERB ) 
 conceremmo ( VERB ) 
 conceremo ( VERB ) 
 concereste ( VERB ) 
 conceresti ( VERB ) 
 concerete ( VERB ) 
 conceria ( NOUN NOUN_SINGULAR ) 
 concerie ( NOUN NOUN_SINGULAR ) 
 concerna ( VERB ) 
 concernan ( VERB ) 
 concernano ( VERB ) 
 concerne ( VERB ) 
 concerne' ( VERB ) 
 concernei ( VERB ) 
 concernemmo ( VERB ) 
 concernendo ( NOUN NOUN_GERUND ) 
 concernente ( VERB_PRESENT_PARTICIPLE VERB ) 
 concernenti ( VERB_PRESENT_PARTICIPLE VERB ) 
 concerner ( VERB_INFINITIVE VERB ) 
 concernera' ( VERB ) 
 concernerai ( VERB ) 
 concerneran ( VERB ) 
 concerneranno ( VERB ) 
 concernere ( VERB_INFINITIVE VERB ) 
 concernerebbe ( VERB ) 
 concernerebber ( VERB ) 
 concernerebbero ( VERB ) 
 concernerei ( VERB ) 
 concerneremmo ( VERB ) 
 concerneremo ( VERB ) 
 concernereste ( VERB ) 
 concerneresti ( VERB ) 
 concernerete ( VERB ) 
 concernero' ( VERB ) 
 concerneron ( VERB ) 
 concernerono ( VERB ) 
 concernerà ( VERB ) 
 concernerò ( VERB ) 
 concernesse ( VERB ) 
 concernesser ( VERB ) 
 concernessero ( VERB ) 
 concernessi ( VERB ) 
 concernessimo ( VERB ) 
 concerneste ( VERB ) 
 concernesti ( VERB ) 
 concernete ( VERB ) 
 concerneva ( VERB ) 
 concernevamo ( VERB ) 
 concernevan ( VERB ) 
 concernevano ( VERB ) 
 concernevate ( VERB ) 
 concernevi ( VERB ) 
 concernevo ( VERB ) 
 concerni ( VERB ) 
 concerniamo ( VERB ) 
 concerniate ( VERB ) 
 concerno ( VERB ) 
 concernon ( VERB ) 
 concernono ( VERB ) 
 concernè ( VERB ) 
 concero' ( VERB ) 
 concerta ( VERB ) 
 concertai ( VERB ) 
 concertammo ( VERB ) 
 concertan ( VERB ) 
 concertando ( NOUN NOUN_GERUND ) 
 concertandosi ( NOUN NOUN_GERUND ) 
 concertano ( VERB ) 
 concertante ( VERB_PRESENT_PARTICIPLE VERB ) 
 concertanti ( VERB_PRESENT_PARTICIPLE VERB ) 
 concertar ( VERB_INFINITIVE VERB ) 
 concertare ( VERB_INFINITIVE VERB ) 
 concertaron ( VERB ) 
 concertarono ( VERB ) 
 concertarsi ( VERB_INFINITIVE VERB ) 
 concertasse ( VERB ) 
 concertasser ( VERB ) 
 concertassero ( VERB ) 
 concertassi ( VERB ) 
 concertassimo ( VERB ) 
 concertaste ( VERB ) 
 concertasti ( VERB ) 
 concertata ( VERB_PAST_PARTICIPLE VERB ADJECTIVE ) 
 concertate ( VERB_PAST_PARTICIPLE VERB ADJECTIVE ) 
 concertati ( VERB_PAST_PARTICIPLE NOUN VERB ADJECTIVE NOUN_SINGULAR ) 
 concertatissima ( ADJECTIVE ) 
 concertatissime ( ADJECTIVE ) 
 concertatissimi ( ADJECTIVE ) 
 concertatissimo ( ADJECTIVE ) 
 concertato ( VERB_PAST_PARTICIPLE NOUN VERB ADJECTIVE NOUN_SINGULAR ) 
 concertatore ( ADJECTIVE ) 
 concertatori ( ADJECTIVE ) 
 concertatorissima ( ADJECTIVE ) 
 concertatorissime ( ADJECTIVE ) 
 concertatorissimi ( ADJECTIVE ) 
 concertatorissimo ( ADJECTIVE ) 
 concertatrice ( ADJECTIVE ) 
 concertatrici ( ADJECTIVE ) 
 concertava ( VERB ) 
 concertavamo ( VERB ) 
 concertavan ( VERB ) 
 concertavano ( VERB ) 
 concertavate ( VERB ) 
 concertavi ( VERB ) 
 concertavo ( VERB ) 
 concertazione ( NOUN NOUN_SINGULAR ) 
 concertazioni ( NOUN NOUN_SINGULAR ) 
 concertera' ( VERB ) 
 concerterai ( VERB ) 
 concerteran ( VERB ) 
 concerteranno ( VERB ) 
 concerterebbe ( VERB ) 
 concerterebber ( VERB ) 
 concerterebbero ( VERB ) 
 concerterei ( VERB ) 
 concerteremmo ( VERB ) 
 concerteremo ( VERB ) 
 concertereste ( VERB ) 
 concerteresti ( VERB ) 
 concerterete ( VERB ) 
 concertero' ( VERB ) 
 concerterà ( VERB ) 
 concerterò ( VERB ) 
 concerti ( NOUN VERB NOUN_SINGULAR ) 
 concertiamo ( VERB ) 
 concertiate ( VERB ) 
 concertin ( VERB ) 
 concertini ( NOUN NOUN_SINGULAR ) 
 concertino ( NOUN VERB NOUN_SINGULAR ) 
 concertista ( NOUN NOUN_SINGULAR ) 
 concertisti ( NOUN NOUN_SINGULAR ) 
 concertistica ( ADJECTIVE ) 
 concertistiche ( ADJECTIVE ) 
 concertistici ( ADJECTIVE ) 
 concertisticissima ( ADJECTIVE ) 
 concertisticissime ( ADJECTIVE ) 
 concertisticissimi ( ADJECTIVE ) 
 concertisticissimo ( ADJECTIVE ) 
 concertistico ( ADJECTIVE ) 
 concerto ( NOUN VERB NOUN_SINGULAR ) 
 concerto' ( VERB ) 
 concertone ( NOUN NOUN_SINGULAR ) 
 concertoni ( NOUN NOUN_SINGULAR ) 
 concertò ( VERB ) 
 concerà ( VERB ) 
 concerò ( VERB ) 
 concessa ( ADJECTIVE ) 
 concesse ( VERB ADJECTIVE ) 
 concessero ( VERB ) 
 concessi ( VERB ADJECTIVE ) 
 concessionari ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 concessionaria ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 concessionarie ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 concessionario ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 concessionarissima ( ADJECTIVE ) 
 concessionarissime ( ADJECTIVE ) 
 concessionarissimi ( ADJECTIVE ) 
 concessionarissimo ( ADJECTIVE ) 
 concessione ( NOUN NOUN_SINGULAR ) 
 concessioni ( NOUN NOUN_SINGULAR ) 
 concessissima ( ADJECTIVE ) 
 concessissime ( ADJECTIVE ) 
 concessissimi ( ADJECTIVE ) 
 concessissimo ( ADJECTIVE ) 
 concesso ( ADJECTIVE ) 
 concetti ( NOUN NOUN_SINGULAR ) 
 concetto ( NOUN NOUN_SINGULAR ) 
 concettosa ( ADJECTIVE ) 
 concettose ( ADJECTIVE ) 
 concettosi ( ADJECTIVE ) 
 concettosissima ( ADJECTIVE ) 
 concettosissime ( ADJECTIVE ) 
 concettosissimi ( ADJECTIVE ) 
 concettosissimo ( ADJECTIVE ) 
 concettoso ( ADJECTIVE ) 
 concettuale ( ADJECTIVE ) 
 concettuali ( ADJECTIVE ) 
 concettualissima ( ADJECTIVE ) 
 concettualissime ( ADJECTIVE ) 
 concettualissimi ( ADJECTIVE ) 
 concettualissimo ( ADJECTIVE ) 
 concezione ( NOUN NOUN_SINGULAR ) 
 concezioni ( NOUN NOUN_SINGULAR ) 
 conche ( NOUN NOUN_SINGULAR ) 
 conchiglia ( NOUN NOUN_SINGULAR ) 
 conchiglie ( NOUN NOUN_SINGULAR ) 
 conchiuda ( VERB ) 
 conchiudan ( VERB ) 
 conchiudano ( VERB ) 
 conchiude ( VERB ) 
 conchiudemmo ( VERB ) 
 conchiudendo ( NOUN NOUN_GERUND ) 
 conchiudente ( VERB_PRESENT_PARTICIPLE VERB ) 
 conchiudenti ( VERB_PRESENT_PARTICIPLE VERB ) 
 conchiuder ( VERB_INFINITIVE VERB ) 
 conchiudera' ( VERB ) 
 conchiuderai ( VERB ) 
 conchiuderan ( VERB ) 
 conchiuderanno ( VERB ) 
 conchiudere ( VERB_INFINITIVE VERB ) 
 conchiuderebbe ( VERB ) 
 conchiuderebber ( VERB ) 
 conchiuderebbero ( VERB ) 
 conchiuderei ( VERB ) 
 conchiuderemmo ( VERB ) 
 conchiuderemo ( VERB ) 
 conchiudereste ( VERB ) 
 conchiuderesti ( VERB ) 
 conchiuderete ( VERB ) 
 conchiudero' ( VERB ) 
 conchiuderà ( VERB ) 
 conchiuderò ( VERB ) 
 conchiudesse ( VERB ) 
